역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
409,4.000000,0.000000,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.333333,2.000000,2.000000,2.666667,2.666667,4.666667,5.333333,4.000000,4.000000,4.000000
410,4.000000,0.000000,530.000000,일요일,0.687500,0.854167,1.020833,1.187500,1.187500,1.020833,1.020833,1.020833,1.020833,1.020833,2.333333,2.944444,4.611111,2.375000,2.833333,5.055556,5.833333,4.277778,4.500000,6.555556
411,4.000000,0.000000,530.000000,일요일,1.375000,1.708333,2.041667,2.375000,2.375000,2.041667,2.041667,2.041667,2.041667,2.041667,3.333333,3.888889,7.222222,4.750000,4.750000,5.444444,6.333333,4.555556,5.000000,9.111111
412,4.000000,0.000000,530.000000,일요일,2.197917,3.364583,4.833333,4.531250,4.187500,3.614583,4.020833,3.854167,4.020833,3.531250,11.214286,10.916667,14.773810,9.857143,10.869048,13.250000,17.511905,13.392857,13.416667,20.190476
413,4.000000,0.000000,530.000000,일요일,3.020833,5.020833,7.625000,6.687500,6.000000,5.187500,6.000000,5.666667,6.000000,5.020833,19.095238,17.944444,22.325397,17.714286,18.738095,21.055556,28.690476,22.230159,21.833333,31.269841
414,4.000000,0.000000,530.000000,일요일,3.843750,6.677083,10.416667,8.843750,7.812500,6.760417,7.979167,7.479167,7.979167,6.510417,26.976190,24.972222,29.876984,25.571429,26.607143,28.861111,39.869048,31.067460,30.250000,42.349206
415,4.000000,0.000000,530.000000,일요일,4.666667,8.333333,13.208333,11.000000,9.625000,8.333333,9.958333,9.291667,9.958333,8.000000,34.857143,32.000000,37.428571,33.428571,34.476190,36.666667,51.047619,39.904762,38.666667,53.428571
416,4.000000,0.000000,530.000000,일요일,5.930556,9.250000,13.361111,11.013889,9.875000,9.027778,10.097222,9.555556,9.347222,7.930556,45.619048,42.349206,47.841270,44.857143,48.761905,51.619048,67.619048,53.777778,51.079365,67.936508
417,4.000000,0.000000,530.000000,일요일,7.194444,10.166667,13.513889,11.027778,10.125000,9.722222,10.236111,9.819444,8.736111,7.861111,56.380952,52.698413,58.253968,56.285714,63.047619,66.571429,84.190476,67.650794,63.492063,82.444444
418,4.000000,0.000000,530.000000,일요일,8.458333,11.083333,13.666667,11.041667,10.375000,10.416667,10.375000,10.083333,8.125000,7.791667,67.142857,63.047619,68.666667,67.714286,77.333333,81.523810,100.761905,81.523810,75.904762,96.952381
419,4.000000,0.000000,530.000000,일요일,7.436343,9.747685,12.027778,9.957176,9.540509,9.682870,9.725694,8.821759,7.112269,7.112269,60.252976,54.431548,60.500000,58.660714,69.500000,73.747024,92.238095,74.163690,66.991071,86.547619
420,4.000000,0.000000,530.000000,일요일,6.414352,8.412037,10.388889,8.872685,8.706019,8.949074,9.076389,7.560185,6.099537,6.432870,53.363095,45.815476,52.333333,49.607143,61.666667,65.970238,83.714286,66.803571,58.077381,76.142857
421,4.000000,0.000000,530.000000,일요일,5.392361,7.076389,8.750000,7.788194,7.871528,8.215278,8.427083,6.298611,5.086806,5.753472,46.473214,37.199405,44.166667,40.553571,53.833333,58.193452,75.190476,59.443452,49.163690,65.738095
422,4.000000,0.000000,530.000000,일요일,4.370370,5.740741,7.111111,6.703704,7.037037,7.481481,7.777778,5.037037,4.074074,5.074074,39.583333,28.583333,36.000000,31.500000,46.000000,50.416667,66.666667,52.083333,40.250000,55.333333
423,4.000000,0.000000,530.000000,일요일,5.319444,6.430556,7.468750,7.236111,7.829861,7.736111,7.791667,5.392361,4.763889,5.763889,35.833333,25.895833,33.625000,29.541667,42.583333,45.312500,59.062500,46.000000,35.604167,45.875000
424,4.000000,0.000000,530.000000,일요일,6.268519,7.120370,7.826389,7.768519,8.622685,7.990741,7.805556,5.747685,5.453704,6.453704,32.083333,23.208333,31.250000,27.583333,39.166667,40.208333,51.458333,39.916667,30.958333,36.416667
425,4.000000,0.000000,530.000000,일요일,7.217593,7.810185,8.184028,8.300926,9.415509,8.245370,7.819444,6.103009,6.143519,7.143519,28.333333,20.520833,28.875000,25.625000,35.750000,35.104167,43.854167,33.833333,26.312500,26.958333
426,4.000000,0.000000,530.000000,일요일,8.166667,8.500000,8.541667,8.833333,10.208333,8.500000,7.833333,6.458333,6.833333,7.833333,24.583333,17.833333,26.500000,23.666667,32.333333,30.000000,36.250000,27.750000,21.666667,17.500000
427,4.000000,0.000000,530.000000,일요일,10.152778,9.125000,10.069444,8.638889,9.902778,8.000000,7.208333,5.930556,6.861111,7.402778,22.452381,18.250000,24.936508,22.190476,29.809524,28.095238,32.992063,25.801587,20.857143,17.031746
428,4.000000,0.000000,530.000000,일요일,12.138889,9.750000,11.597222,8.444444,9.597222,7.500000,6.583333,5.402778,6.888889,6.972222,24.277778,19.500000,23.373016,20.714286,27.285714,26.190476,29.734127,23.853175,20.047619,16.563492
429,4.000000,0.000000,530.000000,일요일,14.125000,10.375000,13.125000,8.250000,9.291667,7.000000,5.958333,4.875000,6.916667,6.541667,28.250000,20.750000,26.250000,19.238095,24.761905,24.285714,26.476190,21.904762,19.238095,16.095238
430,4.000000,0.000000,530.000000,일요일,13.166667,10.666667,12.541667,9.708333,10.562500,8.604167,7.416667,6.604167,8.291667,7.895833,26.333333,21.333333,25.083333,19.416667,21.125000,18.380952,19.476190,16.285714,16.583333,15.791667
431,4.000000,0.000000,530.000000,일요일,12.208333,10.958333,11.958333,11.166667,11.833333,10.208333,8.875000,8.333333,9.666667,9.250000,24.416667,21.916667,23.916667,22.333333,23.666667,20.416667,17.750000,16.666667,19.333333,18.500000
432,4.000000,0.000000,530.000000,일요일,12.175595,10.383929,11.312500,13.059524,10.869048,12.532738,10.913690,10.880952,12.166667,11.839286,24.351190,20.767857,22.625000,26.119048,21.738095,25.065476,21.827381,21.761905,24.333333,23.678571
433,4.000000,0.000000,530.000000,일요일,12.142857,9.809524,10.666667,14.952381,9.904762,14.857143,12.952381,13.428571,14.666667,14.428571,24.285714,19.619048,21.333333,29.904762,19.809524,29.714286,25.904762,26.857143,29.333333,28.857143
434,4.000000,0.000000,530.000000,일요일,9.333333,10.611111,7.777778,12.444444,7.111111,8.666667,10.611111,11.944444,9.944444,10.944444,18.666667,21.222222,15.555556,24.888889,14.222222,17.333333,21.222222,23.888889,19.888889,21.888889
409,4.000000,0.000000,530.000000,토요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,4.666667,5.333333,6.000000,12.000000,12.666667,10.666667,10.666667,10.666667
410,4.000000,0.000000,530.000000,토요일,1.000000,1.166667,1.333333,1.500000,1.500000,1.333333,1.333333,1.333333,1.333333,1.333333,5.047619,5.714286,9.095238,4.380952,5.809524,11.142857,12.523810,9.619048,10.095238,14.428571
