역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
610,6.000000,0.000000,530.000000,일요일,1.666667,3.333333,3.380952,4.333333,5.619048,3.952381,3.380952,1.095238,10.666667,6.666667,13.809524,22.476190,19.047619,33.714286,18.952381,16.380952
611,6.000000,0.000000,530.000000,일요일,2.214286,3.583333,3.946429,5.154762,5.696429,4.130952,3.571429,1.380952,8.690476,7.166667,11.738095,18.619048,15.357143,26.523810,15.214286,13.142857
612,6.000000,0.000000,530.000000,일요일,2.761905,3.833333,4.511905,5.976190,5.773810,4.309524,3.761905,1.666667,6.714286,7.666667,9.666667,14.761905,11.666667,19.333333,11.476190,9.904762
613,6.000000,0.000000,530.000000,일요일,3.309524,4.083333,5.077381,6.797619,5.851190,4.488095,3.952381,1.952381,6.619048,8.166667,10.154762,13.595238,11.702381,12.142857,7.904762,6.666667
614,6.000000,0.000000,530.000000,일요일,3.857143,4.333333,5.642857,7.619048,5.928571,4.666667,4.142857,2.238095,7.714286,8.666667,11.285714,15.238095,11.857143,9.333333,8.285714,4.476190
615,6.000000,0.000000,530.000000,일요일,4.404762,4.583333,6.208333,8.440476,6.005952,4.845238,4.333333,2.523810,8.809524,9.166667,12.416667,16.880952,12.011905,12.071429,8.666667,6.547619
616,6.000000,0.000000,530.000000,일요일,4.952381,4.833333,6.773810,9.261905,6.083333,5.023810,4.523810,2.809524,12.285714,9.761905,15.142857,18.619048,12.714286,19.190476,12.571429,9.666667
617,6.000000,0.000000,530.000000,일요일,5.500000,5.083333,7.339286,10.083333,6.160714,5.202381,4.714286,3.095238,17.047619,13.309524,19.952381,24.404762,16.928571,26.309524,16.857143,12.785714
618,6.000000,0.000000,530.000000,일요일,6.047619,5.333333,7.904762,10.904762,6.238095,5.380952,4.904762,3.380952,21.809524,16.857143,24.761905,30.190476,21.142857,33.428571,21.142857,15.904762
619,6.000000,0.000000,530.000000,일요일,5.857143,5.476190,7.940476,10.511905,5.619048,5.261905,4.880952,3.428571,21.642857,17.333333,24.190476,28.761905,20.166667,31.309524,20.857143,15.952381
