역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9,congestionCar_10,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft,congestionCar_9_fft,congestionCar_10_fft
201,8.000000,0,530.000000,일요일,2.916667,3.333333,4.083333,5.083333,2.958333,5.416667,3.625000,5.416667,3.208333,3.375000,2.916667,3.333333,4.083333,5.083333,2.958333,5.416667,3.625000,5.416667,3.208333,3.375000
202,8.000000,0,530.000000,일요일,3.520833,5.166667,4.729167,6.062500,3.468750,5.729167,4.135417,5.979167,3.656250,4.697917,3.520833,5.166667,4.729167,6.062500,3.468750,5.729167,4.135417,5.979167,3.656250,4.697917
203,8.000000,0,530.000000,일요일,4.125000,7.000000,5.375000,7.041667,3.979167,6.041667,4.645833,6.541667,4.104167,6.020833,4.125000,7.000000,5.375000,7.041667,3.979167,6.041667,4.645833,6.541667,4.104167,6.020833
204,8.000000,0,530.000000,일요일,4.729167,8.833333,6.020833,8.020833,4.489583,6.354167,5.156250,7.104167,4.552083,7.343750,4.729167,8.833333,6.020833,8.020833,4.489583,6.354167,5.156250,7.104167,4.552083,7.343750
205,8.000000,0,530.000000,일요일,5.333333,10.666667,6.666667,9.000000,5.000000,6.666667,5.666667,7.666667,5.000000,8.666667,5.333333,10.666667,6.666667,9.000000,5.000000,6.666667,5.666667,7.666667,5.000000,8.666667
206,8.000000,0,530.000000,일요일,4.888889,8.777778,5.222222,6.888889,3.888889,5.333333,4.666667,6.444444,4.111111,7.666667,4.888889,8.777778,5.222222,6.888889,3.888889,5.333333,4.666667,6.444444,4.111111,7.666667
207,8.000000,0,530.000000,일요일,4.444444,6.888889,3.777778,4.777778,2.777778,4.000000,3.666667,5.222222,3.222222,6.666667,4.444444,6.888889,3.777778,4.777778,2.777778,4.000000,3.666667,5.222222,3.222222,6.666667
208,8.000000,0,530.000000,일요일,4.000000,5.000000,2.333333,2.666667,1.666667,2.666667,2.666667,4.000000,2.333333,5.666667,4.000000,5.000000,2.333333,2.666667,1.666667,2.666667,2.666667,4.000000,2.333333,5.666667
209,8.000000,0,530.000000,일요일,4.090909,5.553030,3.000000,3.909091,2.583333,3.439394,3.356061,4.818182,2.606061,5.166667,4.090909,5.553030,3.000000,3.909091,2.583333,3.439394,3.356061,4.818182,2.606061,5.166667
210,8.000000,0,530.000000,일요일,4.181818,6.106061,3.666667,5.151515,3.500000,4.212121,4.045455,5.636364,2.878788,4.666667,4.181818,6.106061,3.666667,5.151515,3.500000,4.212121,4.045455,5.636364,2.878788,4.666667
211,8.000000,0,530.000000,일요일,4.272727,6.659091,4.333333,6.393939,4.416667,4.984848,4.734848,6.454545,3.151515,4.166667,4.272727,6.659091,4.333333,6.393939,4.416667,4.984848,4.734848,6.454545,3.151515,4.166667
212,8.000000,0,530.000000,일요일,4.363636,7.212121,5.000000,7.636364,5.333333,5.757576,5.424242,7.272727,3.424242,3.666667,4.363636,7.212121,5.000000,7.636364,5.333333,5.757576,5.424242,7.272727,3.424242,3.666667
213,8.000000,0,530.000000,일요일,6.045455,7.121212,6.272727,8.174242,6.469697,6.272727,5.962121,7.424242,3.568182,4.446970,6.045455,7.121212,6.272727,8.174242,6.469697,6.272727,5.962121,7.424242,3.568182,4.446970
214,8.000000,0,530.000000,일요일,7.727273,7.030303,7.545455,8.712121,7.606061,6.787879,6.500000,7.575758,3.712121,5.227273,7.727273,7.030303,7.545455,8.712121,7.606061,6.787879,6.500000,7.575758,3.712121,5.227273
215,8.000000,0,530.000000,일요일,9.409091,6.939394,8.818182,9.250000,8.742424,7.303030,7.037879,7.727273,3.856061,6.007576,9.409091,6.939394,8.818182,9.250000,8.742424,7.303030,7.037879,7.727273,3.856061,6.007576
216,8.000000,0,530.000000,일요일,11.090909,6.848485,10.090909,9.787879,9.878788,7.818182,7.575758,7.878788,4.000000,6.787879,11.090909,6.848485,10.090909,9.787879,9.878788,7.818182,7.575758,7.878788,4.000000,6.787879
217,8.000000,0,530.000000,일요일,10.848485,6.666667,9.424242,9.424242,9.136364,7.606061,7.651515,7.318182,3.803030,6.439394,10.848485,6.666667,9.424242,9.424242,9.136364,7.606061,7.651515,7.318182,3.803030,6.439394
218,8.000000,0,530.000000,일요일,10.606061,6.484848,8.757576,9.060606,8.393939,7.393939,7.727273,6.757576,3.606061,6.090909,10.606061,6.484848,8.757576,9.060606,8.393939,7.393939,7.727273,6.757576,3.606061,6.090909
219,8.000000,0,530.000000,일요일,13.854545,9.933333,13.272727,12.909091,13.133333,11.696970,10.993939,10.400000,7.315152,12.084848,13.854545,9.933333,13.272727,12.909091,13.133333,11.696970,10.993939,10.400000,7.315152,12.084848
220,8.000000,0,530.000000,일요일,17.103030,13.381818,17.787879,16.757576,17.872727,16.000000,14.260606,14.042424,11.024242,18.078788,17.103030,13.381818,17.787879,16.757576,17.872727,16.000000,14.260606,14.042424,11.024242,18.078788
221,8.000000,0,530.000000,일요일,20.351515,16.830303,22.303030,20.606061,22.612121,20.303030,17.527273,17.684848,14.733333,24.072727,20.351515,16.830303,22.303030,20.606061,22.612121,20.303030,17.527273,17.684848,14.733333,24.072727
222,8.000000,0,530.000000,일요일,23.600000,20.278788,26.818182,24.454545,27.351515,24.606061,20.793939,21.327273,18.442424,30.066667,23.600000,20.278788,26.818182,24.454545,27.351515,24.606061,20.793939,21.327273,18.442424,30.066667
223,8.000000,0,530.000000,일요일,26.848485,23.727273,31.333333,28.303030,32.090909,28.909091,24.060606,24.969697,22.151515,36.060606,26.848485,23.727273,31.333333,28.303030,32.090909,28.909091,24.060606,24.969697,22.151515,36.060606
224,8.000000,0,530.000000,일요일,27.777778,25.060606,33.919192,29.565657,35.000000,30.525253,24.545455,26.464646,23.181818,36.747475,27.777778,25.060606,33.919192,29.565657,35.000000,30.525253,24.545455,26.464646,23.181818,36.747475
225,8.000000,0,530.000000,일요일,28.707071,26.393939,36.505051,30.828283,37.909091,32.141414,25.030303,27.959596,24.212121,37.434343,28.707071,26.393939,36.505051,30.828283,37.909091,32.141414,25.030303,27.959596,24.212121,37.434343
226,8.000000,0,530.000000,일요일,29.636364,27.727273,39.090909,32.090909,40.818182,33.757576,25.515152,29.454545,25.242424,38.121212,29.636364,27.727273,39.090909,32.090909,40.818182,33.757576,25.515152,29.454545,25.242424,38.121212
227,8.000000,0,530.000000,일요일,26.735606,25.712121,35.376515,28.801515,36.588636,30.701515,24.194697,26.807576,22.773485,35.040909,26.735606,25.712121,35.376515,28.801515,36.588636,30.701515,24.194697,26.807576,22.773485,35.040909
228,8.000000,0,530.000000,일요일,23.834848,23.696970,31.662121,25.512121,32.359091,27.645455,22.874242,24.160606,20.304545,31.960606,23.834848,23.696970,31.662121,25.512121,32.359091,27.645455,22.874242,24.160606,20.304545,31.960606
229,8.000000,0,530.000000,일요일,20.934091,21.681818,27.947727,22.222727,28.129545,24.589394,21.553788,21.513636,17.835606,28.880303,20.934091,21.681818,27.947727,22.222727,28.129545,24.589394,21.553788,21.513636,17.835606,28.880303
230,8.000000,0,530.000000,일요일,18.033333,19.666667,24.233333,18.933333,23.900000,21.533333,20.233333,18.866667,15.366667,25.800000,18.033333,19.666667,24.233333,18.933333,23.900000,21.533333,20.233333,18.866667,15.366667,25.800000
231,8.000000,0,530.000000,일요일,20.071296,19.166667,23.804630,19.783333,24.489815,20.862963,21.906481,18.325926,14.626852,21.979630,20.071296,19.166667,23.804630,19.783333,24.489815,20.862963,21.906481,18.325926,14.626852,21.979630
232,8.000000,0,530.000000,일요일,22.109259,18.666667,23.375926,20.633333,25.079630,20.192593,23.579630,17.785185,13.887037,18.159259,22.109259,18.666667,23.375926,20.633333,25.079630,20.192593,23.579630,17.785185,13.887037,18.159259
233,8.000000,0,530.000000,일요일,24.147222,18.166667,22.947222,21.483333,25.669444,19.522222,25.252778,17.244444,13.147222,14.338889,24.147222,18.166667,22.947222,21.483333,25.669444,19.522222,25.252778,17.244444,13.147222,14.338889
234,8.000000,0,530.000000,일요일,26.185185,17.666667,22.518519,22.333333,26.259259,18.851852,26.925926,16.703704,12.407407,10.518519,26.185185,17.666667,22.518519,22.333333,26.259259,18.851852,26.925926,16.703704,12.407407,10.518519
235,8.000000,0,530.000000,일요일,24.950617,17.641975,22.395062,21.432099,25.135802,18.074074,26.358025,15.666667,11.679012,10.259259,24.950617,17.641975,22.395062,21.432099,25.135802,18.074074,26.358025,15.666667,11.679012,10.259259
236,8.000000,0,530.000000,일요일,23.716049,17.617284,22.271605,20.530864,24.012346,17.296296,25.790123,14.629630,10.950617,10.000000,23.716049,17.617284,22.271605,20.530864,24.012346,17.296296,25.790123,14.629630,10.950617,10.000000
237,8.000000,0,530.000000,일요일,22.481481,17.592593,22.148148,19.629630,22.888889,16.518519,25.222222,13.592593,10.222222,9.740741,22.481481,17.592593,22.148148,19.629630,22.888889,16.518519,25.222222,13.592593,10.222222,9.740741
238,8.000000,0,530.000000,일요일,16.223765,14.075617,17.001543,15.878086,16.606481,12.804012,18.495370,10.853395,8.037037,7.841049,16.223765,14.075617,17.001543,15.878086,16.606481,12.804012,18.495370,10.853395,8.037037,7.841049
239,8.000000,0,530.000000,일요일,9.966049,10.558642,11.854938,12.126543,10.324074,9.089506,11.768519,8.114198,5.851852,5.941358,9.966049,10.558642,11.854938,12.126543,10.324074,9.089506,11.768519,8.114198,5.851852,5.941358
240,8.000000,0,530.000000,일요일,3.708333,7.041667,6.708333,8.375000,4.041667,5.375000,5.041667,5.375000,3.666667,4.041667,3.708333,7.041667,6.708333,8.375000,4.041667,5.375000,5.041667,5.375000,3.666667,4.041667
201,8.000000,0,530.000000,토요일,3.458333,4.083333,5.083333,6.041667,3.708333,6.125000,4.416667,6.416667,3.958333,4.166667,3.458333,4.083333,5.083333,6.041667,3.708333,6.125000,4.416667,6.416667,3.958333,4.166667
202,8.000000,0,530.000000,토요일,4.593750,6.895833,6.312500,7.864583,4.697917,7.010417,5.479167,7.645833,4.802083,6.375000,4.593750,6.895833,6.312500,7.864583,4.697917,7.010417,5.479167,7.645833,4.802083,6.375000
203,8.000000,0,530.000000,토요일,5.729167,9.708333,7.541667,9.687500,5.687500,7.895833,6.541667,8.875000,5.645833,8.583333,5.729167,9.708333,7.541667,9.687500,5.687500,7.895833,6.541667,8.875000,5.645833,8.583333
204,8.000000,0,530.000000,토요일,6.864583,12.520833,8.770833,11.510417,6.677083,8.781250,7.604167,10.104167,6.489583,10.791667,6.864583,12.520833,8.770833,11.510417,6.677083,8.781250,7.604167,10.104167,6.489583,10.791667
205,8.000000,0,530.000000,토요일,8.000000,15.333333,10.000000,13.333333,7.666667,9.666667,8.666667,11.333333,7.333333,13.000000,8.000000,15.333333,10.000000,13.333333,7.666667,9.666667,8.666667,11.333333,7.333333,13.000000
206,8.000000,0,530.000000,토요일,7.333333,12.777778,8.000000,10.333333,6.000000,7.666667,7.222222,9.555556,6.111111,11.222222,7.333333,12.777778,8.000000,10.333333,6.000000,7.666667,7.222222,9.555556,6.111111,11.222222
207,8.000000,0,530.000000,토요일,6.666667,10.222222,6.000000,7.333333,4.333333,5.666667,5.777778,7.777778,4.888889,9.444444,6.666667,10.222222,6.000000,7.333333,4.333333,5.666667,5.777778,7.777778,4.888889,9.444444
208,8.000000,0,530.000000,토요일,6.000000,7.666667,4.000000,4.333333,2.666667,3.666667,4.333333,6.000000,3.666667,7.666667,6.000000,7.666667,4.000000,4.333333,2.666667,3.666667,4.333333,6.000000,3.666667,7.666667
209,8.000000,0,530.000000,토요일,6.621212,9.659091,5.446970,7.787879,4.689394,5.598485,5.856061,8.651515,4.553030,7.545455,6.621212,9.659091,5.446970,7.787879,4.689394,5.598485,5.856061,8.651515,4.553030,7.545455
