역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
709,7.000000,0.000000,530.000000,일요일,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,7.000000,0.000000,530.000000,일요일,3.481481,2.129630,1.666667,1.666667,1.601852,1.759259,1.805556,1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
711,7.000000,0.000000,530.000000,일요일,6.962963,4.259259,3.333333,3.333333,3.203704,3.518519,3.611111,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
712,7.000000,0.000000,530.000000,일요일,10.444444,6.388889,5.000000,5.000000,4.805556,5.277778,5.416667,5.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
713,7.000000,0.000000,530.000000,일요일,13.925926,8.518519,6.666667,6.666667,6.407407,7.037037,7.222222,7.000000,42.333333,29.083333,35.833333,30.750000,32.666667,32.833333,23.666667,19.416667
714,7.000000,0.000000,530.000000,일요일,15.129630,10.222222,9.222222,8.777778,8.314815,8.407407,8.481481,9.083333,49.541667,38.208333,45.291667,40.291667,42.729167,43.145833,31.979167,26.125000
715,7.000000,0.000000,530.000000,일요일,16.333333,11.925926,11.777778,10.888889,10.222222,9.777778,9.740741,11.166667,56.750000,47.333333,54.750000,49.833333,52.791667,53.458333,40.291667,32.833333
716,7.000000,0.000000,530.000000,일요일,17.537037,13.629630,14.333333,13.000000,12.129630,11.148148,11.000000,13.250000,63.958333,56.458333,64.208333,59.375000,62.854167,63.770833,48.604167,39.541667
717,7.000000,0.000000,530.000000,일요일,18.740741,15.333333,16.888889,15.111111,14.037037,12.518519,12.259259,15.333333,71.166667,65.583333,73.666667,68.916667,72.916667,74.083333,56.916667,46.250000
718,7.000000,0.000000,530.000000,일요일,17.222222,14.288889,16.007407,14.237037,13.570370,11.851852,11.488889,14.103704,73.111111,68.496296,75.807407,72.688889,78.096296,76.762963,59.177778,47.577778
719,7.000000,0.000000,530.000000,일요일,15.703704,13.244444,15.125926,13.362963,13.103704,11.185185,10.718519,12.874074,75.055556,71.409259,77.948148,76.461111,83.275926,79.442593,61.438889,48.905556
720,7.000000,0.000000,530.000000,일요일,14.185185,12.200000,14.244444,12.488889,12.637037,10.518519,9.948148,11.644444,77.000000,74.322222,80.088889,80.233333,88.455556,82.122222,63.700000,50.233333
721,7.000000,0.000000,530.000000,일요일,12.666667,11.155556,13.362963,11.614815,12.170370,9.851852,9.177778,10.414815,78.944444,77.235185,82.229630,84.005556,93.635185,84.801852,65.961111,51.561111
