역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft
809,8.000000,0,530.000000,일요일,1.000000,1.083333,1.083333,1.166667,1.083333,1.083333,1.000000,1.083333,1.083333,1.166667,1.083333,1.083333
810,8.000000,0,530.000000,일요일,2.375000,3.458333,2.458333,2.291667,1.916667,1.666667,2.375000,3.458333,2.458333,2.291667,1.916667,1.666667
811,8.000000,0,530.000000,일요일,3.750000,5.833333,3.833333,3.416667,2.750000,2.250000,3.750000,5.833333,3.833333,3.416667,2.750000,2.250000
812,8.000000,0,530.000000,일요일,4.916667,6.972222,5.083333,4.638889,4.250000,3.638889,4.916667,6.972222,5.083333,4.638889,4.250000,3.638889
813,8.000000,0,530.000000,일요일,6.083333,8.111111,6.333333,5.861111,5.750000,5.027778,6.083333,8.111111,6.333333,5.861111,5.750000,5.027778
814,8.000000,0,530.000000,일요일,7.250000,9.250000,7.583333,7.083333,7.250000,6.416667,7.250000,9.250000,7.583333,7.083333,7.250000,6.416667
815,8.000000,0,530.000000,일요일,9.277778,12.055556,11.388889,10.166667,11.277778,10.277778,9.277778,12.055556,11.388889,10.166667,11.277778,10.277778
816,8.000000,0,530.000000,일요일,11.305556,14.861111,15.194444,13.250000,15.305556,14.138889,11.305556,14.861111,15.194444,13.250000,15.305556,14.138889
817,8.000000,0,530.000000,일요일,13.333333,17.666667,19.000000,16.333333,19.333333,18.000000,13.333333,17.666667,19.000000,16.333333,19.333333,18.000000
818,8.000000,0,530.000000,일요일,11.333333,15.666667,16.000000,14.333333,16.666667,14.833333,11.333333,15.666667,16.000000,14.333333,16.666667,14.833333
819,8.000000,0,530.000000,일요일,9.333333,13.666667,13.000000,12.333333,14.000000,11.666667,9.333333,13.666667,13.000000,12.333333,14.000000,11.666667
820,8.000000,0,530.000000,일요일,7.333333,12.000000,10.833333,10.833333,12.333333,10.666667,7.333333,12.000000,10.833333,10.833333,12.333333,10.666667
821,8.000000,0,530.000000,일요일,5.333333,10.333333,8.666667,9.333333,10.666667,9.666667,5.333333,10.333333,8.666667,9.333333,10.666667,9.666667
809,8.000000,0,530.000000,토요일,1.500000,1.833333,1.916667,2.166667,1.833333,1.750000,1.500000,1.833333,1.916667,2.166667,1.833333,1.750000
810,8.000000,0,530.000000,토요일,4.625000,6.500000,5.166667,4.916667,3.916667,3.208333,4.625000,6.500000,5.166667,4.916667,3.916667,3.208333
811,8.000000,0,530.000000,토요일,7.750000,11.166667,8.416667,7.666667,6.000000,4.666667,7.750000,11.166667,8.416667,7.666667,6.000000,4.666667
812,8.000000,0,530.000000,토요일,10.611111,14.555556,11.638889,10.388889,9.500000,8.055556,10.611111,14.555556,11.638889,10.388889,9.500000,8.055556
813,8.000000,0,530.000000,토요일,13.472222,17.944444,14.861111,13.111111,13.000000,11.444444,13.472222,17.944444,14.861111,13.111111,13.000000,11.444444
814,8.000000,0,530.000000,토요일,16.333333,21.333333,18.083333,15.833333,16.500000,14.833333,16.333333,21.333333,18.083333,15.833333,16.500000,14.833333
815,8.000000,0,530.000000,토요일,19.555556,25.888889,24.277778,21.222222,23.666667,21.555556,19.555556,25.888889,24.277778,21.222222,23.666667,21.555556
816,8.000000,0,530.000000,토요일,22.777778,30.444444,30.472222,26.611111,30.833333,28.277778,22.777778,30.444444,30.472222,26.611111,30.833333,28.277778
817,8.000000,0,530.000000,토요일,26.000000,35.000000,36.666667,32.000000,38.000000,35.000000,26.000000,35.000000,36.666667,32.000000,38.000000,35.000000
818,8.000000,0,530.000000,토요일,22.666667,31.500000,32.000000,28.666667,33.166667,29.500000,22.666667,31.500000,32.000000,28.666667,33.166667,29.500000
819,8.000000,0,530.000000,토요일,19.333333,28.000000,27.333333,25.333333,28.333333,24.000000,19.333333,28.000000,27.333333,25.333333,28.333333,24.000000
820,8.000000,0,530.000000,토요일,15.333333,24.666667,23.000000,22.666667,25.333333,22.000000,15.333333,24.666667,23.000000,22.666667,25.333333,22.000000
821,8.000000,0,530.000000,토요일,11.333333,21.333333,18.666667,20.000000,22.333333,20.000000,11.333333,21.333333,18.666667,20.000000,22.333333,20.000000
809,8.000000,0,530.000000,평일,1.527778,1.527778,2.416667,2.972222,1.805556,1.416667,1.527778,1.527778,2.416667,2.972222,1.805556,1.416667
810,8.000000,0,530.000000,평일,5.430556,5.638889,5.361111,4.736111,3.625000,3.055556,5.430556,5.638889,5.361111,4.736111,3.625000,3.055556
811,8.000000,0,530.000000,평일,9.333333,9.750000,8.305556,6.500000,5.444444,4.694444,9.333333,9.750000,8.305556,6.500000,5.444444,4.694444
812,8.000000,0,530.000000,평일,12.601852,14.111111,11.546296,9.777778,9.009259,9.805556,12.601852,14.111111,11.546296,9.777778,9.009259,9.805556
813,8.000000,0,530.000000,평일,15.870370,18.472222,14.787037,13.055556,12.574074,14.916667,15.870370,18.472222,14.787037,13.055556,12.574074,14.916667
814,8.000000,0,530.000000,평일,19.138889,22.833333,18.027778,16.333333,16.138889,20.027778,19.138889,22.833333,18.027778,16.333333,16.138889,20.027778
815,8.000000,0,530.000000,평일,24.314815,30.555556,25.500000,23.962963,24.870370,35.870370,24.314815,30.555556,25.500000,23.962963,24.870370,35.870370
816,8.000000,0,530.000000,평일,29.490741,38.277778,32.972222,31.592593,33.601852,51.712963,29.490741,38.277778,32.972222,31.592593,33.601852,51.712963
817,8.000000,0,530.000000,평일,34.666667,46.000000,40.444444,39.222222,42.333333,67.555556,34.666667,46.000000,40.444444,39.222222,42.333333,67.555556
818,8.000000,0,530.000000,평일,30.777778,41.944444,38.722222,37.833333,38.555556,54.722222,30.777778,41.944444,38.722222,37.833333,38.555556,54.722222
819,8.000000,0,530.000000,평일,26.888889,37.888889,37.000000,36.444444,34.777778,41.888889,26.888889,37.888889,37.000000,36.444444,34.777778,41.888889
820,8.000000,0,530.000000,평일,20.722222,29.666667,29.222222,29.944444,29.277778,34.944444,20.722222,29.666667,29.222222,29.944444,29.277778,34.944444
821,8.000000,0,530.000000,평일,14.555556,21.444444,21.444444,23.444444,23.777778,28.000000,14.555556,21.444444,21.444444,23.444444,23.777778,28.000000
809,8.000000,0,630.000000,일요일,1.208333,3.541667,4.125000,3.500000,3.750000,1.708333,1.208333,3.541667,4.125000,3.500000,3.750000,1.708333
810,8.000000,0,630.000000,일요일,4.770833,8.437500,7.395833,5.416667,4.708333,2.437500,4.770833,8.437500,7.395833,5.416667,4.708333,2.437500
811,8.000000,0,630.000000,일요일,8.333333,13.333333,10.666667,7.333333,5.666667,3.166667,8.333333,13.333333,10.666667,7.333333,5.666667,3.166667
812,8.000000,0,630.000000,일요일,8.444444,13.444444,10.611111,7.722222,6.888889,5.222222,8.444444,13.444444,10.611111,7.722222,6.888889,5.222222
813,8.000000,0,630.000000,일요일,8.555556,13.555556,10.555556,8.111111,8.111111,7.277778,8.555556,13.555556,10.555556,8.111111,8.111111,7.277778
814,8.000000,0,630.000000,일요일,8.666667,13.666667,10.500000,8.500000,9.333333,9.333333,8.666667,13.666667,10.500000,8.500000,9.333333,9.333333
815,8.000000,0,630.000000,일요일,8.277778,13.000000,10.611111,8.555556,9.777778,10.833333,8.277778,13.000000,10.611111,8.555556,9.777778,10.833333
816,8.000000,0,630.000000,일요일,7.888889,12.333333,10.722222,8.611111,10.222222,12.333333,7.888889,12.333333,10.722222,8.611111,10.222222,12.333333
817,8.000000,0,630.000000,일요일,7.500000,11.666667,10.833333,8.666667,10.666667,13.833333,7.500000,11.666667,10.833333,8.666667,10.666667,13.833333
818,8.000000,0,630.000000,일요일,6.583333,11.083333,9.833333,7.666667,9.333333,10.916667,6.583333,11.083333,9.833333,7.666667,9.333333,10.916667
819,8.000000,0,630.000000,일요일,5.666667,10.500000,8.833333,6.666667,8.000000,8.000000,5.666667,10.500000,8.833333,6.666667,8.000000,8.000000
820,8.000000,0,630.000000,일요일,4.083333,8.916667,7.166667,5.583333,7.000000,7.083333,4.083333,8.916667,7.166667,5.583333,7.000000,7.083333
